State,Mean of Median of housing price
Alabama,215150.0
Alaska,334833.3333333333
Arizona,307670.0
Arkansas,202572.72727272726
California,673135.7142857143
Colorado,540875.0
Connecticut,360200.0
Delaware,340566.6666666667
District of Columbia,711100.0
Florida,347936.5853658537
Georgia,282443.58974358975
Hawaii,796850.0
Idaho,419533.3333333333
Illinois,211445.45454545456
Indiana,219962.96296296295
Iowa,230660.0
Kansas,235900.0
Kentucky,233557.14285714287
Louisiana,211552.9411764706
Maine,274000.0
Maryland,378106.25
Massachusetts,487825.0
Michigan,222993.33333333334
Minnesota,323875.0
Mississippi,195090.9090909091
Missouri,231147.0588235294
Montana,433550.0
Nebraska,274566.6666666667
Nevada,481350.0
New Hampshire,367883.3333333333
New Jersey,407876.1904761905
New Mexico,230822.22222222222
New York,326397.36842105264
North Carolina,268102.38095238095
North Dakota,272375.0
Ohio,209960.52631578947
Oklahoma,201645.45454545456
Oregon,453800.0
Pennsylvania,222469.23076923078
Rhode Island,452625.0
South Carolina,257033.33333333334
South Dakota,303133.3333333333
Tennessee,317980.95238095237
Texas,257689.0909090909
Utah,499742.85714285716
Vermont,422800.0
Virginia,397946.6666666667
Washington,480785.0
West Virginia,181800.0
Wisconsin,256056.0
Wyoming,298800.0
